id;game_id;score
1;1;3.39
2;1;2.46
3;1;3.76
4;1;4.44
5;1;2.25
6;1;3.1
7;1;2.85
8;1;3.33
9;1;2.8
10;1;2.62
11;1;1.86
12;1;2.63
13;1;3.32
14;1;1.81
15;1;2.71
16;1;1.63
17;1;2.68
18;1;3.31
19;1;1.79
20;1;3.26
21;1;2.7
22;1;2.91
23;1;3.7
24;1;1.43
25;1;2.16
26;1;3.99
27;1;3.35
28;1;2.16
29;1;2.83
30;1;3.68
31;1;1.96
32;1;3.22
33;1;3.5
34;1;2.5
35;1;4.24
36;1;1.76
37;1;2.42
38;1;2.34
39;1;4.11
40;1;2.63
41;1;3.67
42;1;5.31
43;1;4.22
44;1;4.1
45;1;3.5
46;1;3.37
47;1;3.12
48;1;3.5
49;1;3.36
50;1;4.84
51;1;3.4
52;1;1.48
53;1;2.75
54;1;6.96
55;1;3.45
56;1;2.25
57;1;2.23
58;1;3.69
59;1;3.76
60;1;5.83
61;1;1.95
62;1;6.85
63;1;7.37
64;1;6.62
65;1;3.41
66;1;4.5
67;1;4.55
68;1;7.68
69;1;2.41
70;1;3.96
71;1;4.95
72;1;6.76
73;1;3.5
74;1;3.91
75;1;2.93
76;1;3.1
77;1;2.14
78;1;2.3
79;1;4.4
80;1;3.53
81;1;2.95
82;1;4.16
83;1;4.27
84;1;4.35
85;1;2.77
86;1;5.13
87;1;2.47
88;1;2.24
89;1;3.6
90;1;3.8
91;1;2.47
92;1;5.18
93;1;2.18
94;1;2.98
95;1;2.24
96;1;2.91
97;1;2.37
98;1;3.37
99;1;2.74
100;1;2.49
101;1;2.17
102;1;3
103;1;5.3
104;1;2.23
105;1;2.74
106;1;2.71
107;1;2.38
108;1;2.74
109;1;2.59
110;1;2.48
111;1;3.1
112;1;2.29
113;1;3.15
114;1;2.41
115;1;1.84
116;1;3.25
117;1;3.24
118;1;2.75
119;1;3.14
120;1;3.11
121;1;3.37
122;1;6.87
123;1;2.52
124;1;2.69
125;1;3.26
126;1;2.66
127;1;2.33
128;1;4.33
129;1;5.5
130;1;1.83
131;1;3.86
132;1;2.5
133;1;2.67
134;1;3.6
135;1;2.59
136;1;2.21
137;1;1.8
138;1;1.72
139;1;2.96
140;1;2.68
141;1;2.79
142;1;1.77
143;1;4.2
144;1;3.45
145;1;2.56
146;1;6.6
147;1;3.42
148;1;3.53
149;1;2.22
150;1;2
151;1;2.41
152;1;2.62
153;1;2.71
154;1;3.1
155;1;3.76
156;1;3.4
157;1;3.21
158;1;2.27
159;1;1.82
160;1;2.7
161;1;4.19
162;1;3.18
163;1;5.75
164;1;3.28
165;1;7.16
166;1;2.98
167;1;6.37
168;1;2.75
169;1;1.93
170;1;2.91
171;2;0
172;2;0
173;2;1
174;2;1
175;2;1
176;2;1
177;2;2
178;2;2
179;2;2
180;2;2
181;2;3
182;2;3
183;2;3
184;2;3
185;2;3
186;2;3
187;2;4
188;2;4
189;2;4
190;2;4
191;2;4
192;2;4
193;2;4
194;2;4
195;2;5
196;2;5
197;2;5
198;2;5
199;2;5
200;2;5
201;2;6
202;2;6
203;2;6
204;2;6
205;2;6
206;2;6
207;2;6
208;2;6
209;2;6
210;2;6
211;2;6
212;2;6
213;2;7
214;2;7
215;2;7
216;2;7
217;2;7
218;2;7
219;2;7
220;2;7
221;2;7
222;2;7
223;2;7
224;2;7
225;2;7
226;2;7
227;2;8
228;2;8
229;2;8
230;2;8
231;2;8
232;2;8
233;2;8
234;2;8
235;2;8
236;2;8
237;2;8
238;2;8
239;2;8
240;2;8
241;2;8
242;2;8
243;2;8
244;2;8
245;2;8
246;2;8
247;2;9
248;2;9
249;2;9
250;2;9
251;2;9
252;2;9
253;2;9
254;2;9
255;2;9
256;2;9
257;2;9
258;2;9
259;2;9
260;2;9
261;2;10
262;2;10
263;2;10
264;2;10
265;2;10
266;2;10
267;2;10
268;2;10
269;2;10
270;2;10
271;2;11
272;2;11
273;2;11
274;2;11
275;2;11
276;2;11
277;2;11
278;2;11
279;2;12
280;2;12
281;2;12
282;2;12
283;2;12
284;2;12
285;2;12
286;2;12
287;2;13
288;2;13
289;2;13
290;2;13
291;2;14
292;2;14
293;2;15
294;2;15
295;2;16
296;2;16
297;2;17
298;2;17
299;2;18
300;2;19
301;3;0
302;3;0
303;3;1
304;3;1
305;3;1
306;3;1
307;3;1
308;3;1
309;3;1
310;3;1
311;3;1
312;3;1
313;3;1
314;3;2
315;3;2
316;3;2
317;3;2
318;3;2
319;3;2
320;3;2
321;3;2
322;3;2
323;3;2
324;3;2
325;3;2
326;3;2
327;3;2
328;3;2
329;3;2
330;3;2
331;3;2
332;3;3
333;3;3
334;3;3
335;3;3
336;3;3
337;3;3
338;3;3
339;3;3
340;3;3
341;3;3
342;3;3
343;3;3
344;3;3
345;3;3
346;3;3
347;3;3
348;3;3
349;3;3
350;3;3
351;3;3
352;3;3
353;3;4
354;3;4
355;3;4
356;3;4
357;3;4
358;3;4
359;3;4
360;3;4
361;3;4
362;3;4
363;3;4
364;3;4
365;3;4
366;3;4
367;3;4
368;3;4
369;3;4
370;3;4
371;3;4
372;3;4
373;3;4
374;3;4
375;3;4
376;3;4
377;3;4
378;3;4
379;3;4
380;3;4
381;3;5
382;3;5
383;3;5
384;3;5
385;3;5
386;3;5
387;3;5
388;3;5
389;3;5
390;3;5
391;3;5
392;3;5
393;3;5
394;3;5
395;3;5
396;3;5
397;3;5
398;3;5
399;3;5
400;3;5
401;3;5
402;3;5
403;3;5
404;3;5
405;3;5
406;3;5
407;3;6
408;3;6
409;3;6
410;3;6
411;3;6
412;3;6
413;3;6
414;3;6
415;3;6
416;3;6
417;3;6
418;3;6
419;3;6
420;3;6
421;3;6
422;3;7
423;3;7
424;3;7
425;3;7
426;3;7
427;3;8
428;3;8
429;3;8
430;3;9
431;4;21.34
432;4;30.96
433;4;48.11
434;4;69.92
435;4;48.24
436;4;52.74
437;4;51.94
438;4;36.46
439;4;25.48
440;4;63.18
441;4;101.6
442;4;33.51
443;4;25.54
444;4;51.94
445;4;43.82
446;4;39.52
447;4;27.23
448;4;46.25
449;4;19.48
450;4;78.7
451;4;73.84
452;4;47.79
453;4;37.25
454;4;36.11
455;4;92.77
456;4;40.73
457;4;37.25
458;4;46.25
459;4;36.11
460;4;85.96
461;4;37.25
462;4;46.25
463;4;32.56
464;4;81.06
465;4;46.25
466;4;80.05
467;4;21.98
468;4;43.27
469;4;46.25
470;4;17.31
471;4;20.78
472;4;46.25
473;4;46.25
474;4;46.76
475;4;31.26
476;4;24.86
477;4;54.78
478;4;51.94
479;4;36.78
480;4;74.06
481;4;36.78
482;4;94.27
483;4;56.62
484;4;96.39
485;4;62.02
486;4;47.16
487;4;50.88
488;4;47.16
489;4;119.08
490;4;92.24
491;4;47.16
492;4;47.69
493;4;84.98
494;4;96.39
495;4;33.16
496;4;71.9
497;4;96.39
498;4;35.43
499;4;48.66
500;4;51.16
501;4;26.23
502;4;36.78
503;4;28.43
504;4;51.67
505;4;88.46
506;4;47.54
507;4;56.7
508;4;32.95
509;4;33.06
510;4;59.79
511;4;18.72
512;4;36.54
513;4;62.73
514;4;106.33
515;4;44.49
516;4;48.79
517;4;46.53
518;4;53.06
519;4;39.32
520;4;60.53
521;4;54.34
522;4;80.45
523;4;33.92
524;4;76.58
525;4;42.63
526;4;52.38
527;4;74.61
528;4;36.94
529;4;29.28
530;4;77.9
531;4;148.65
532;4;23.74
533;4;33.93
534;4;61.67
535;4;24.52
536;4;31.83
537;4;83.16
538;4;40.34
539;4;33.85
540;4;75.72
541;4;45.2
